sample_index,record_id,question,query,model_ok,model_elapsed_s,model_completion_tokens,search_ok,search_elapsed_s,search_result_count,search_error
12,5ae829ea5542997ec2727738,Where was the armory at which Model 1840 flintlock musket was produced located? ,Where was the armory at which Model 1840 flintlock musket was produced located?,True,0.1806184439919889,43,True,3.5708791189827025,9,
13,5a774e9c55429972597f14f3,David Huntsinger has worked with this gospel singer born in the month of July?,David Huntsinger gospel singer born in July,True,0.1295417679939419,29,True,13.38506595697254,8,
14,5a75ebfc5542992d0ec06018,What indigenous American ethnic group that inhabits land in the northern United States and southern Canada was part of the Treaty of Springwells?,indigenous American ethnic group that inhabits land in the northern United States and southern Canada was part of the Treaty of Springwells,True,0.19275240204297006,46,True,1.1085608850698918,10,
15,5a7a112a5542990783324e2b,What kind of musicians are Mark Gaudet and Jan Axel Blomberg?,Mark Gaudet and Jan Axel Blomberg musicians,True,0.1331988361198455,31,True,1.7311928609851748,9,
16,5a78db8055429970f5fffdb2,"Flyboys stars which actor who was nominated for an Academy Award for ""127 Hours""?",Flyboys stars which actor who was nominated for an Academy Award for '127 Hours',True,0.1705632722005248,40,True,2.787614533910528,9,
17,5add564a5542990dbb2f7e38,Las Vegas Festival Grounds is north of the hotel that is owned by which company?,Las Vegas Festival Grounds is north of the hotel that is owned by which company?,True,0.1590491810347885,38,True,7.584526885999367,10,
18,5a88f9555542995153361214,The Jeep Cherokee was originally sold as a variant of a Jeep model produced during what years?,Jeep Cherokee original variant production years,True,0.1259676048066467,28,True,6.33116988488473,9,
19,5adccf645542990d50227d32,"From which city in Oklahoma is the singer of a song that peaked at number 24 on ""Billboard"" magazine's pop chart in December 1953?",singer of a song that peaked at number 24 on Billboard magazine's pop chart in December 1953 Oklahoma city,True,0.20292025618255138,47,True,1.1933182158973068,9,
20,5a8e0a005542995085b373a1,Bordan Tkachuk was the CEO of a company that provides what sort of products?,Bordan Tkachuk CEO products,True,0.12227241392247379,28,True,2.2028287719003856,10,
21,5adcc3ed5542994d58a2f6c4,"What group did Carlene LeFevre and Rich LeFevre form in Brooklyn, New York City?",Carlene LeFevre and Rich LeFevre group Brooklyn New York City,True,0.1594318349380046,38,True,7.364619495114312,10,
22,5ab7da6f55429928e1fe3928,Patrick Kennedy is known for his collections of Irish  folktales from a province situated in which part of Ireland ?,Patrick Kennedy Irish folktales province,True,0.12507436494342983,28,True,0.08644975302740932,9,
23,5ae1801955429901ffe4aec4,Where is the Cocoa Krispies and former Superman sponsor located?,Cocoa Krispies and former Superman sponsor location,True,0.124993717065081,29,True,3.436268728924915,10,
24,5a7a27ce5542996c55b2dd28,"What took place first, The Korean War or The Western Allied invasion of Germany?","What took place first, The Korean War or The Western Allied invasion of Germany?",True,0.15628014015965164,37,True,5.697965622181073,10,
25,5a711cb45542994082a3e59f,"Who has won more Grand Slam women's doubles titles, Lisa Raymond or Liezel Huber?",Lisa Raymond vs Liezel Huber Grand Slam women's doubles titles,True,0.1409745558630675,33,True,1.7050570519641042,10,
26,5ac02edb554299294b218f41,The 37th Disney animated feature film Tarzan features You'll be in my heart by which artist?,The 37th Disney animated feature film Tarzan features You'll be in my heart by which artist?,True,0.17349658510647714,42,True,1.7576786170247942,8,
27,5a7555215542996c70cfaee1,"Which came to market first, ""Hey Pa! There's a Goat on the Roof"" or ""Poleconomy""","Which came to market first, 'Hey Pa! There's a Goat on the Roof' or 'Poleconomy'",True,0.18447128892876208,45,True,0.9092396488413215,10,
28,5a84b4005542991dd0999d99,"When did the Disney sitcom in which Genevieve Knight ""G"" Hannelius starred as Avery Jennings end?","When did the Disney sitcom in which Genevieve Knight ""G"" Hannelius starred as Avery Jennings end?",True,0.17857777001336217,43,True,1.5970639791339636,10,
29,5abf04ae5542993fe9a41dbf,What musical action does Ndebele music and Musical bow have in common?,What musical action does Ndebele music and Musical bow have in common?,True,0.15084314602427185,36,True,1.0819800719618797,10,
30,5ae31bbd55429928c42395fc,Are Guildford Cathedral and St Paul's Cathedral both located in England?,Are Guildford Cathedral and St Paul's Cathedral both located in England?,True,0.14615330309607089,35,True,0.9410398721229285,10,
31,5ab474135542991751b4d77b,"At the 46th Grammy Awards, which award did the album by The White Stripes, which included the song Seven Nation Army, win?",46th Grammy Awards The White Stripes Seven Nation Army award,True,0.14380107796750963,34,True,4.4362987380009145,9,
32,5ae5ffbb5542996de7b71ad4,"Michaël Llodra of France, called ""the best volleyer on tour"", defeated Juan Martín del Potro a professional of what nationality?",Juan Martín del Potro nationality,True,0.12104701506905258,28,True,0.08552329591475427,9,
33,5a83aaeb5542996488c2e483,What studio album did Kanye West record with Roc-A-Fella Records and soul singer Dwele?,Kanye West Roc-A-Fella Records Dwele studio album,True,0.13891233992762864,33,True,1.0993095338344574,9,
34,5a8eb4d65542990e94052b82,"Jacques Mathou starred in Delicatessen, the 1991 French movie in the style of which celebrated American animator?",Jacques Mathou Delicatessen 1991 French movie celebrated American animator,True,0.15762027888558805,38,True,2.0370817510411143,9,
35,5a8dd5f955429917b4a5bcc7,"Other than racing, what sport does the 1998 champion of the Toyota GRand Prix practice?",1998 Toyota GRand Prix champion sport practice,True,0.1323792750481516,31,True,3.139601623872295,9,
36,5ab41d855542996a3a969f4b,"Is the Pakistan fast bowler who joined the Kent County Cricket Club in June, 2011 a left-hand or right-hand batsmans?",Pakistan fast bowler joined Kent County Cricket Club in June 2011 left or right handed batsman,True,0.17784021398983896,43,True,1.214799223933369,9,
37,5a81a7f75542995ce29dcc25,Jin Jing is a Chinese female Paralympic fencer who called for a boycott of what retailer whose name means crossroads and public square in French?,Jin Jing boycott retailer name means crossroads and public square in French,True,0.14353436208330095,34,True,7.441367057850584,10,
38,5ac1f4495542991316484bd2,"Who has more scope of profession, Phil Rosen or  Delmer Daves?",Phil Rosen vs Delmer Daves profession scope,True,0.12967801606282592,30,True,1.0208988371305168,9,
39,5a75f79555429976ec32bcca,"Considered the strongest recorded tropical cyclone, which cyclone had a film made about it in 2007?",strongest recorded tropical cyclone film 2007,True,0.13926096609793603,33,True,1.8479449939914048,9,
40,5a78d01d55429974737f78b3,"The singer known as the ""Ballad Prince"" was on a romantic comedy that aired on what state-run channel from August 11 to September 30, 2010?","The singer known as the ""Ballad Prince"" was on a romantic comedy that aired on what state-run channel from August 11 to September 30, 2010?",True,0.23790963389910758,59,True,1.4566865179222077,9,
41,5a8485fa5542992a431d1a41,"Who was the brother of the architect of Hook and Ladder No. 4 located in Albany, NY?",architect of Hook and Ladder No. 4 Albany NY brother,True,0.1469773850403726,35,True,3.966314365854487,10,
42,5a7f5ab65542995d8a8dde43,Cheek to cheek tour played shows at what place that is located on the Las Vegas strip that began their tour?,Cheek to cheek tour played shows at what place that is located on the Las Vegas strip that began their tour?,True,0.18298230809159577,44,True,0.9599370709620416,9,
43,5ae4a2b25542995ad6573de0,Red Mountain is a film that centers on an attempt by a group of what group of Civil War rangers?,Red Mountain film Civil War rangers,True,0.11658194195479155,27,True,6.170744157861918,10,
44,5ae0038655429925eb1afbe0,"Which is a Macedonian weekly, Hänt Extra or Tea Moderna?","Which is a Macedonian weekly, Hänt Extra or Tea Moderna?",True,0.15154008008539677,36,True,2.0401992900297046,9,
45,5a8488f45542992a431d1a47,"Who wrote The Devils, and was an eninent English theater, opera and film director?","Who wrote The Devils, and was an eminent English theater, opera and film director?",True,0.1583501440472901,38,True,4.1002111728303134,9,
46,5a7ca4485542990527d554f1,What was the address of the penitentiary where Jimmy Elliot was sentenced?,address of the penitentiary where Jimmy Elliot was sentenced,True,0.13699895702302456,32,True,3.8883189409971237,9,
47,5ab31864554299233954ff06,What class of instrument does Apatim Majumdar play?,Apatim Majumdar instrument class,True,0.12064041406847537,28,True,1.0453724460676312,8,
48,5a9052765542995651fb513d,"Which author is an economist, Czesław Miłosz or Bhabananda Deka?",Czesław Miłosz economist Bhabananda Deka,True,0.14244788605719805,34,True,1.4147542058490217,10,
49,5a90580655429933b8a204ef,What record did the Super Bowl XXXIV champions finish the regular-season with in 1999?,What record did the Super Bowl XXXIV champions finish the regular-season with in 1999?,True,0.16914250701665878,41,True,1.1413405579514802,10,
50,5a7631cd5542994ccc91870c,Where is the seminar Jeanne Marie Beaumont directed in 2007-2010 located?,Where is the seminar Jeanne Marie Beaumont directed in 2007-2010 located?,True,0.17565170396119356,43,True,1.156293751904741,10,
51,5abc0bea554299658360040d, Sir Johnston Forbes-Robertson was considered the finest at playing a character who was the king of which country ?,Sir Johnston Forbes-Robertson finest king character,True,0.12622481700964272,30,True,1.7205627250950783,9,
52,5adc53f75542996e6852530a,Are both Cypress and Ajuga genera?,Are both Cypress and Ajuga genera?,True,0.12563097989186645,29,True,1.9899529148824513,9,
53,5ac2efd65542990b17b154c7,"What season of the Indian reality TV series ""Big Boss"" did the model Lopamundra Raut compete in?",Lopamundra Raut Big Boss season,True,0.1276808469556272,30,True,0.8412703620269895,7,
54,5a85ab905542994c784ddb35,"Two positions were filled in The Voice of Ireland b which British-Irish girl group based in London, England?","Two positions were filled in The Voice of Ireland b which British-Irish girl group based in London, England?",True,0.17571965511888266,43,True,2.3533002859912813,9,
55,5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",university in lawrence kansas branch campuses in kansas city fight song,True,0.14656490203924477,35,True,1.5955077961552888,9,
56,5a7d3470554299452d57bb56,A scam involving a male calling small town fast-food restaurants and pretending to be a police officer to have them strip search employees was turned into a movie of what name?,scam involving a male calling small town fast-food restaurants and pretending to be a police officer to have them strip search employees movie,True,0.18333902303129435,45,True,1.4003763410728425,10,
57,5a7cf29255429909bec768b8,The Ingerophrynus gollum is named after a character in a book that sold how many copies?,Ingerophrynus gollum book copies sold,True,0.13130102795548737,31,True,4.486005327897146,9,
58,5a7f81425542992097ad2f8e,"Which movie was released first, 'Mean Girls' or the remake of 'April Fool's Day'?","Which movie was released first, 'Mean Girls' or the remake of 'April Fool's Day'?",True,0.17291016806848347,42,True,11.288684741128236,9,
59,5ae005b555429942ec259bec,"In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?",year novel Nina Lourenço Mutarelli based on,True,0.1387586770579219,32,True,3.8508935188874602,10,
60,5a8a764555429930ff3c0de1,What distinction about his birth makes the contemporary of Bill Pollack unique as a winner of the Formula One World Drivers' Championship?,distinction about his birth makes the contemporary of Bill Pollack unique as a winner of the Formula One World Drivers' Championship,True,0.18155869003385305,44,True,7.62392257200554,10,
61,5ae2dfd155429928c423951b,"Which of the city at the south of Shelly Beach, New South Wales is a local government area in the Hunter region of New South Wales, Australia?",city south of Shelly Beach New South Wales local government area Hunter region,True,0.15728090587072074,35,True,8.970020724926144,9,
62,5ae15e125542990adbacf773,In between Berghuis v. Thompkins and Mississippi University for Women v. Hogan which one was a  case decided 5-4 by the Supreme Court of the United States?,Berghuis v. Thompkins Mississippi University for Women v. Hogan 5-4 Supreme Court,True,0.17509959102608263,42,True,3.1443028328940272,10,
63,5a79ca585542996c55b2dc71,"Who starred in the film The Human Factor in 1979, alongside fellow English actors Richard Attenborough and Derek Jacobi?","Who starred in the film The Human Factor in 1979, alongside fellow English actors Richard Attenborough and Derek Jacobi?",True,0.19988781493157148,49,True,1.0929194989148527,10,
64,5abd2eab5542992ac4f38210,Which suburb is a soap opera featuring a character named Beverly Marshall set in?,soap opera with character Beverly Marshall,True,0.11626545619219542,27,True,0.922667576931417,10,
65,5ac23ff0554299636651994d,"When was Poison's album ""Shut Up, Make Love"" released?","When was Poison's album ""Shut Up, Make Love"" released?",True,0.1470459308475256,35,True,0.8870656329672784,9,
66,5a779be75542995d83181215,The Lance Todd Trophy is presented at a stadium located in what country?,The Lance Todd Trophy is presented at a stadium located in what country?,True,0.14252303796820343,34,True,0.8570993859320879,10,
67,5ac048ea554299294b218f74,Who did Fredric Rieders tesify agains who had killed as many as 60 patients and recieved three consecutive life terms to be served in Florence Colorado?,Fredric Rieders testify against who killed 60 patients and received three consecutive life terms in Florence Colorado,True,0.17672303784638643,43,True,3.033604936907068,10,
68,5ab96ab755429970cfb8eacd,"Ellie Goulding worked with what other writers on her third studio album, Delirium?",Ellie Goulding third studio album Delirium writers,True,0.13493094593286514,32,True,0.9201943469233811,9,
69,5ae2070a5542994d89d5b313,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy vs Wolf Alice instrument to person ratio,True,0.13499301811680198,32,True,2.198634352069348,9,
70,5a7a46605542994f819ef1ad,What year did Roy Rogers and his third wife star in a film directed by Frank McDonald?,Roy Rogers third wife film Frank McDonald,True,0.12088868301361799,28,True,1.0964686600491405,10,
71,5ac1a3665542994ab5c67daf,What was position of the man who served Prince Andrew from 1990-2001? ,position of the man who served Prince Andrew from 1990-2001,True,0.16155073302797973,39,True,1.215089620091021,9,
72,5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,True,0.15687364782206714,38,True,1.2202065419405699,10,
73,5a7a6ee75542996c55b2ddac,"Who was born first, Krzysztof Zanussi or Thom Andersen?",Krzysztof Zanussi Thom Andersen birth dates,True,0.13852858822792768,33,True,2.145141223911196,10,
74,5a78bc6b554299148911f979,Woman's Era and Naj are what kind of magazines?,Woman's Era and Naj are what kind of magazines?,True,0.1316098878160119,31,True,0.8274262279737741,9,
75,5a711c535542994082a3e59b,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what? ,Albanian Coalition Perspect Montenegro,True,0.12413649610243738,29,True,6.152452684007585,9,
76,5a7521c55542993748c897c6,Temagami-Lorrain Mine and Burwash Mine were both mines created during the early 1900s; which one yielded a 16-ton bulk sample of gold ore in 1935?,Temagami-Lorrain Mine and Burwash Mine which one yielded a 16-ton bulk sample of gold ore in 1935,True,0.20740032801404595,51,True,0.9739586699288338,9,
77,5a88a42f554299206df2b317,What literary style describes the 1968 book that features a 1939 international Harvester school bus?,1968 book with 1939 international Harvester school bus,True,0.15088677895255387,36,True,3.56278492603451,9,
78,5ab3eeb5554299233954fff4,"The actress that plays Kaylee Frye in the series ""Firefly"" also stars with Alan Dale in a sci-fi tv film released in what year?",actress who plays Kaylee Frye in Firefly and Alan Dale sci-fi tv film release year,True,0.1686896791215986,41,True,0.97423160308972,9,
79,5adbd70c55429947ff173843, What is the title of the memoir written by the honoree of the Black and White Ball?,title of the memoir written by the honoree of the Black and White Ball,True,0.15033978689461946,36,True,1.0039742479566485,10,
80,5ae628f55542995703ce8b32,"In what city was the Italian Baroque composer who composed a set of sonatas, titled Op. 5, born?",Italian Baroque composer Op. 5 sonatas birthplace,True,0.13490339112468064,32,True,1.5734270261600614,9,
81,5a75383a5542996c70cfaeb3,"Who was born first, Ulf Merbold or Mirosław Hermaszewski?",Ulf Merbold vs Mirosław Hermaszewski birth dates,True,0.1472399418707937,35,True,4.951102229068056,9,
82,5a799dfb5542994bb9457029,Former race car driver Jeff Wood made his CART debut at which 1983 Nissan/Datsun-sponsored race?,Former race car driver Jeff Wood made his CART debut at which 1983 Nissan/Datsun-sponsored race?,True,0.17991483095102012,44,True,1.3227605421561748,10,
83,5a77a65b5542992a6e59df57,"when was the album that includes the song by Dustin Lynch released to country radio on February 17, 2017?","album that includes the song by Dustin Lynch released to country radio on February 17, 2017",True,0.179773730924353,44,True,3.7781402259133756,9,
84,5a87411d5542994846c1cd37,"What job did Jörgen Smit work, where he was working in the world center for the anthroposophical movement?",Jörgen Smit job world center anthroposophical movement,True,0.13887078687548637,33,True,1.752368118846789,10,
85,5a7d19d85542995ed0d165e8,The Tennessee Volunteers football team plays as a member for a conference in what city?,Tennessee Volunteers football team conference city,True,0.12097687600180507,28,True,3.9781630758661777,10,
86,5a866c04554299211dda2b25,Are Pterostyrax and Dregea both native to Asia?,Are Pterostyrax and Dregea both native to Asia?,True,0.15122642903588712,36,True,1.367503419984132,10,
87,5a7ec61a55429934daa2fc5f,Are Staten Island Catapult and This Is Elvis both documentaries?,Are Staten Island Catapult and This Is Elvis both documentaries?,True,0.138704942073673,33,True,1.2140197809785604,10,
88,5a79b7f6554299029c4b5f6f,How many restaurants comprise the quick service restaurant chain that Ron Joyce helped found?,How many restaurants comprise the quick service restaurant chain that Ron Joyce helped found?,True,0.149926220998168,36,True,18.700643490999937,10,
89,5add311b5542994ed6169cc5,"What kind of dinosaur does Raymond Ochoa voice in the Pixar film ""The Good Dinosaur""?",Raymond Ochoa Pixar film The Good Dinosaur dinosaur,True,0.13869384909048676,32,True,1.4664854700677097,8,
90,5a7571135542992d0ec05f98,Ralph Hefferline was a psychology professor at a university that is located in what city?,Ralph Hefferline university location,True,0.1211375230923295,28,True,2.3002426370512694,10,
91,5ab8688b55429934fafe6daa,"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?","What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",True,0.16090324404649436,39,True,10.222108204849064,10,
92,5add98985542990dbb2f7e82,What was the occupation of the man who published an individualist anarchist journal?,occupation of the man who published an individualist anarchist journal,True,0.13810656615532935,32,True,2.291575411101803,10,
93,5a7f5c9f55429969796c1a0f,The city that contains the Yunnan Provincial Museum is also known by what nickname?,Yunnan Provincial Museum city nickname,True,0.12094389903359115,28,True,0.8810036040376872,9,
94,5ac1b5de5542994d76dccec6,Rex Riot is known for a remix of the Kanye West song that was from which album?,Rex Riot remix Kanye West album,True,0.12020756909623742,28,True,1.2605028150137514,9,
95,5a8361b65542992ef85e22a0,Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?,Vince Phillips junior welterweight title recognized Hall of Fame,True,0.13635941105894744,32,True,6.413960112025961,7,
96,5abc19705542993a06baf86e,Black Book starred the actress and writer of what heritage?,Black Book actress and writer heritage,True,0.11736287293024361,27,True,0.9002891299314797,9,
97,5ae7ba7a5542993210983f12,"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",singer song released as lead single from album Confessions popular song stuck behind for eight consecutive weeks,True,0.1616867040283978,39,True,1.4787891181185842,10,
98,5ae6860e5542991bbc976112,"How did Emilie du Chatelet, Voltaire's love, contribute to the basic laws of physics?",Emilie du Chatelet contribution to physics laws,True,0.13197989715263247,31,True,0.9131236949469894,9,
99,5abffc41554299012d1db551,"The 1984 film ""Marlene"" is a documentary about an actress born in what year?",1984 film Marlene documentary actress birth year,True,0.13184298807755113,31,True,8.674383996985853,8,
